_source,activity,all_lessee,dataset,geometry_geojson,gloid,lease_number,lease_status,objectid_1,primary_lessee,project_latitude,project_longitude,project_name,project_number,purposeclass,total_consideration
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.4337241042716, 30.9286766779152], [-94.433714079073, 30.9183169726223], [-94.4395542495173, 30.9183269612147], [-94.4400503288616, 30.9183269727746], [-94.4400904305542, 30.9234682983302], [-94.4460838068735, 30.9234618882812], [-94.4461144663742, 30.9286866561788], [-94.4376942194496, 30.9286866700492], [-94.4337241042716, 30.9286766779152]]]}",SL20030015,SL20030015,Active,774,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-95.054921696061, 30.301491851442], [-95.0428089573987, 30.3015638897304], [-95.042785198756, 30.3005803804907], [-95.0548879256945, 30.3003762525002], [-95.054921696061, 30.301491851442]]]}",SL20030015,SL20030015,Active,775,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7626436595002, 30.9121165666876], [-94.7624636290325, 30.901526868963], [-94.7652337135684, 30.9035068068803], [-94.76546374157, 30.9121065612618], [-94.7626436595002, 30.9121165666876]]]}",SL20030015,SL20030015,Active,776,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7676936538543, 30.8491983505602], [-94.7635335333156, 30.8491783597244], [-94.7634135121055, 30.8421485597236], [-94.7606134301272, 30.842058568481], [-94.7605934219509, 30.8388986575701], [-94.7673836191986, 30.8389086459609], [-94.7677036296455, 30.8389186443775], [-94.7676943608284, 30.8484697709386], [-94.7676936538543, 30.8491983505602]]]}",SL20030015,SL20030015,Active,777,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7605534100898, 30.8344987837489], [-94.7604933981373, 30.8300489113264], [-94.767333596512, 30.8300888986507], [-94.773793785962, 30.8301088857499], [-94.7738038084656, 30.8388786345073], [-94.7677036296455, 30.8389186443775], [-94.7673836191986, 30.8389086459609], [-94.7605934219509, 30.8388986575701], [-94.7605534100898, 30.8344987837489]]]}",SL20030015,SL20030015,Active,778,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7684151231983, 30.8491974821648], [-94.7676936538543, 30.8491983505602], [-94.7676943608284, 30.8484697709386], [-94.7677036296455, 30.8389186443775], [-94.7738038084656, 30.8388786345073], [-94.7737538145251, 30.8421685404552], [-94.7737538262032, 30.8470784002792], [-94.7737238305575, 30.8491983389919], [-94.7694328048207, 30.8491974821648], [-94.7694296247846, 30.848243232646], [-94.7683721900159, 30.8482582500204], [-94.7684151231983, 30.8491974821648]]]}",SL20030015,SL20030015,Active,779,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7669536881985, 30.8720976988591], [-94.7628735698225, 30.8721977031269], [-94.762783558631, 30.8687378013805], [-94.7602134795014, 30.866967856794], [-94.760193476715, 30.8659978858329], [-94.7668136686935, 30.8658778761752], [-94.7668936771443, 30.8681378126915], [-94.7669536881985, 30.8720976988591]]]}",SL20030015,SL20030015,Active,780,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Timber,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7968945141604, 30.8526781987176], [-94.7878842510622, 30.8526982142735], [-94.7879042430689, 30.8496183029118], [-94.7961844695901, 30.8425184910407], [-94.7967244846366, 30.8429984744808], [-94.7968945141604, 30.8526781987176]]]}",SL20030015,SL20030015,Active,781,Texas A&M Forest Service,,,SL20030015,P020635,"Public, Government (CL/SL/LA)",0
glo_upland_leases,Hunting,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-94.7550344520383, 30.9415584441188], [-94.7448942762977, 30.9345087904199], [-94.7550244978067, 30.9347086446003], [-94.7550344520383, 30.9415584441188]]]}",SL20020003,SL20020003,Active,782,Archie Wetuski ,30.93696261,-94.75167008,SL20020003,P020582,Agricultural (SL),2750
glo_upland_leases,Grazing,,glo_upland_leases,"{""type"": ""Polygon"", ""coordinates"": [[[-104.820128910481, 30.370113247274], [-104.81995890611, 30.3703232427228], [-104.8196489002, 30.3705032381307], [-104.819358891687, 30.3707232323264], [-104.819128887042, 30.3709432275771], [-104.818868882259, 30.3712232203235], [-104.81860887568, 30.3715432102768], [-104.818438871309, 30.3717532042044], [-104.818188866572, 30.3720131996043], [-104.817958861029, 30.372193194226], [-104.817658854266, 30.3723631898756], [-104.817338846514, 30.3724831874474], [-104.817058838945, 30.3726631827539], [-104.816888834575, 30.3728731773761], [-104.816648829883, 30.3731531700206], [-104.816538827584, 30.3733431641852], [-104.794098288356, 30.3893727706781], [-104.792158239956, 30.3907327365239], [-104.786708057821, 30.3850429301117], [-104.787748083239, 30.3843229474156], [-104.812028668613, 30.366873378699], [-104.812458680462, 30.3668533764163], [-104.812668685015, 30.3668433764361], [-104.813178699925, 30.3668233749223], [-104.813628710966, 30.366743375802], [-104.814068723759, 30.3665533804386], [-104.814328730338, 30.3664833803405], [-104.814748740344, 30.3663033845085], [-104.815068748994, 30.3661733870543], [-104.81530875638, 30.3660833888944], [-104.815498759944, 30.3659833905836], [-104.815788766661, 30.3658933922488], [-104.816258782285, 30.3660133876848], [-104.816558790844, 30.3660733834099], [-104.816948800713, 30.36625337734], [-104.817158807962, 30.3663733731093], [-104.817438816429, 30.3665733657311], [-104.817678824713, 30.3667533602911], [-104.818258842638, 30.3671333452211], [-104.818588853131, 30.3673133395254], [-104.81873885741, 30.3674933327234], [-104.818948863761, 30.3675933287151], [-104.819208873035, 30.3677633230617], [-104.819388879248, 30.3679633151659], [-104.819548884471, 30.3681033108681], [-104.819728889786, 30.3683333033169], [-104.819818893791, 30.3686232948108], [-104.819878897659, 30.3689132854447], [-104.819968901664, 30.3693032733369], [-104.820108905898, 30.3694732678109], [-104.820168908867, 30.3696932604488], [-104.820168911562, 30.3699132533667], [-104.820128910481, 30.370113247274]]]}",SL20080008,SL20080008,Active,783,Mr. Israel and Serjio Rangel ,30.373104,-104.815664,SL20080008,P020876,Agricultural (SL),9600
